year,dividend_per_share,company,ticker,year_end_price,dividend_yield
1987,0.001786,Apple,AAPL,,
1988,0.003035,Apple,AAPL,,
1989,0.003661,Apple,AAPL,,
1990,0.004017,Apple,AAPL,,
1991,0.004284,Apple,AAPL,,
1992,0.004284,Apple,AAPL,,
1993,0.004284,Apple,AAPL,,
1994,0.004284,Apple,AAPL,,
1995,0.004284,Apple,AAPL,,
1996,0.0,Apple,AAPL,,
1997,0.0,Apple,AAPL,,
1998,0.0,Apple,AAPL,,
1999,0.0,Apple,AAPL,,
2000,0.0,Apple,AAPL,,
2001,0.0,Apple,AAPL,,
2002,0.0,Apple,AAPL,,
2003,0.0,Apple,AAPL,,
2004,0.0,Apple,AAPL,,
2005,0.0,Apple,AAPL,,
2006,0.0,Apple,AAPL,,
2007,0.0,Apple,AAPL,,
2008,0.0,Apple,AAPL,,
2009,0.0,Apple,AAPL,,
2010,0.0,Apple,AAPL,,
2011,0.0,Apple,AAPL,,
2012,0.189286,Apple,AAPL,,
2013,0.42142999999999997,Apple,AAPL,,
2014,0.461429,Apple,AAPL,,
2015,0.5075000000000001,Apple,AAPL,23.668441772460938,2.1442053721951995
2016,0.5575,Apple,AAPL,26.622358322143555,2.0941044863643463
2017,0.615,Apple,AAPL,39.52470016479492,1.555989033277442
2018,0.705,Apple,AAPL,37.394248962402344,1.8853166451045316
2019,0.76,Apple,AAPL,70.65935516357422,1.0755829829477264
2020,0.8075,Apple,AAPL,128.81674194335938,0.6268595120617607
2021,0.865,Apple,AAPL,173.44944763183594,0.49870438436682163
2022,0.91,Apple,AAPL,127.65151977539062,0.7128783124565939
2023,0.95,Apple,AAPL,190.21104431152344,0.49944523644174466
2024,0.99,Apple,AAPL,248.61578369140625,0.3982048063484317
2025,1.03,Apple,AAPL,271.12200927734375,0.37990276139712564
2026,0.8,Apple,AAPL,,
